0x0011,0x21e9
0x014e,0x307b
0x014f,0x307e
0x0150,0x307f
0x0151,0x3080
0x0152,0x3081
0x0153,0x3082
0x0154,0x3084
0x0155,0x3086
0x0156,0x3088
0x0157,0x3089
0x0158,0x308a
0x0159,0x308b
0x015a,0x308c
0x015b,0x308d
0x015c,0x308f
0x015d,0x3093
0x015e,0x301d
0x0164,0x21c0
0x0165,0x21bf
0x0166,0x22a5
0x0167,0x007e
0x0168,0xff1e
0x0169,0xff1d
0x016a,0xff1c
0x016b,0xff39
0x016c,0xff01
0x016d,0x21d6
0x016e,0x21d7
0x016f,0x2592
0x0170,0x3000
0x0171,0x2460
0x0172,0x2461
0x0173,0x2462
0x0174,0x2463
0x0175,0x2464
0x0176,0x2465
0x0177,0x2466
0x0178,0x2467
0x0179,0x2468
0x017a,0x2469
0x017b,0x246a
0x017c,0x246b
0x017d,0x246c
0x017e,0x246d
0x017f,0x246e
